朝市,アサイチ
グラム,グラム
グラム,グラム
暗やみ,クラヤミ
クラリネット,クラリネット
グランド,グランド
グランプリ,グランプリ
くり,クリ
クリア,クリア
クリア,クリア
クリーナー,クリーナー
クリーニング,クリーニング
クリーム,クリーム
グリーン,グリーン
グリーン車,グリーンシャ
繰り返し,クリカエシ
クリケット,クリケット
クリスタル,クリスタル
クリスチャン,クリスチャン
クリスマス,クリスマス
クリスマスイブ,クリスマスイブ
クリスマスカード,クリスマスカード
クリスマスケーキ,クリスマスケーキ
クリスマスプレゼント,クリスマスプレゼント
クリック,クリック
クリップ,クリップ
グリップ,グリップ
クリニック,クリニック
ぐる,グル
狂い,クルイ
クルー,クルー
グループ,グループ
苦しみ,クルシミ
くるぶし,クルブシ
車,クルマ
グルメ,グルメ
暮れ,クレ
グレー,グレー
クレーター,クレーター
グレード,グレード
クレープ,クレープ
グレープフルーツ,グレープフルーツ
クレーム,クレーム
クレーン,クレーン
クレジット,クレジット
クレジットカード,クレジットカード
紅,クレナイ
クレヨン,クレヨン
クレンザー,クレンザー
黒,クロ
苦労,クロウ
玄人,クロウト
クローバー,クローバー
黒帯,クロオビ
黒髪,クロカミ
黒字,クロジ
クロス,クロス
クロスワード,クロスワード
クロスワードパズル,クロスワードパズル
黒船,クロフネ
黒豆,クロマメ
クロワッサン,クロワッサン
鍬形,クワガタ
区分け,クワケ
企て,クワダテ
訓,クン
郡,グン
軍,グン
軍艦,グンカン
軍国,グンコク
軍国主義,グンコクシュギ
群集,グンシュウ
勲章,クンショウ
軍人,グンジン
軍勢,グンゼイ
軍隊,グンタイ
軍配,グンバイ
軍備,グンビ
軍部,グンブ
訓読み,クンヨミ
君臨,クンリン
訓練,クンレン
毛,ケ
気,ケ
け,ケ
気,ゲ
ケア,ケア
毛穴,ケアナ
計,ケイ
計,ケイ
刑,ケイ
芸,ゲイ
敬意,ケイイ
経緯,ケイイ
経営,ケイエイ
経営学,ケイエイガク
経営者,ケイエイシャ
敬遠,ケイエン
経過,ケイカ
警戒,ケイカイ
警戒心,ケイカイシン
計画,ケイカク
計画的,ケイカクテキ
警官,ケイカン
景観,ケイカン
景気,ケイキ
刑期,ケイキ
契機,ケイキ
敬具,ケイグ
経験,ケイケン
軽減,ケイゲン
けいこ,ケイコ
敬語,ケイゴ
警護,ケイゴ
傾向,ケイコウ
蛍光灯,ケイコウトウ
警告,ケイコク
渓谷,ケイコク
掲載,ケイサイ
経済,ケイザイ
経済学,ケイザイガク
経済成長,ケイザイセイチョウ
経済成長率,ケイザイセイチョウリツ
経済的,ケイザイテキ
警察,ケイサツ
警察官,ケイサツカン
警察署,ケイサツショ
警察庁,ケイサツチョウ
計算,ケイサン
計算式,ケイサンシキ
警視,ケイシ
軽視,ケイシ
刑事,ケイジ
掲示,ケイジ
形式,ケイシキ
刑事裁判,ケイジサイバン
警視庁,ケイシチョウ
掲示板,ケイジバン
傾斜,ケイシャ
芸者,ゲイシャ
芸術,ゲイジュツ
芸術家,ゲイジュツカ
芸術的,ゲイジュツテキ
芸術品,ゲイジュツヒン
継承,ケイショウ
軽症,ケイショウ
敬称,ケイショウ
形状,ケイジョウ
形成,ケイセイ
形勢,ケイセイ
計測,ケイソク
継続,ケイゾク
携帯,ケイタイ
形態,ケイタイ
境内,ケイダイ
携帯電話,ケイタイデンワ
系統,ケイトウ
鶏肉,ケイニク
芸人,ゲイニン
芸能,ゲイノウ
芸能界,ゲイノウカイ
芸能人,ゲイノウジン
競馬,ケイバ
刑罰,ケイバツ
経費,ケイヒ
警備,ケイビ
景品,ケイヒン
警部,ケイブ
芸風,ゲイフウ
けいべつ,ケイベツ
刑法,ケイホウ
警報,ケイホウ
刑務所,ケイムショ
芸名,ゲイメイ
契約,ケイヤク
契約書,ケイヤクショ
経由,ケイユ
軽油,ケイユ
形容,ケイヨウ
形容詞,ケイヨウシ
経理,ケイリ
渓流,ケイリュウ
軽量,ケイリョウ
計量,ケイリョウ
経歴,ケイレキ
系列,ケイレツ
経路,ケイロ
敬老,ケイロウ
ＫＯ,ケーオー
ケーキ,ケーキ
ケージ,ケージ
ケース,ケース
ゲート,ゲート
ケーブル,ケーブル
ケーブルカー,ケーブルカー
ゲーム,ゲーム
ゲームセンター,ゲームセンター
けが,ケガ
外科,ゲカ
汚れ,ケガレ
毛皮,ケガワ
劇,ゲキ
激減,ゲキゲン
劇場,ゲキジョウ
撃退,ゲキタイ
劇団,ゲキダン
撃墜,ゲキツイ
激怒,ゲキド
激突,ゲキトツ
激変,ゲキヘン
劇薬,ゲキヤク
激励,ゲキレイ
下校,ゲコウ
今朝,ケサ
下山,ゲザン
夏至,ゲシ
消印,ケシイン
景色,ケシキ
消しゴム,ケシゴム
けじめ,ケジメ
下車,ゲシャ
下宿,ゲシュク
下旬,ゲジュン
化粧,ケショウ
化粧水,ケショウスイ
化粧直し,ケショウナオシ
化粧品,ケショウヒン
下水,ゲスイ
下水道,ゲスイドウ
ゲスト,ゲスト
削り節,ケズリブシ
けた,ケタ
けた,ケタ
げた,ゲタ
毛玉,ケダマ
下段,ゲダン
けち,ケチ
ケチャップ,ケチャップ
血,ケツ
穴,ケツ
月,ゲツ
血圧,ケツアツ
決意,ケツイ
欠員,ケツイン
血液,ケツエキ
血液型,ケツエキガタ
血縁,ケツエン
結果,ケッカ
結核,ケッカク
月額,ゲツガク
結果的,ケッカテキ
欠陥,ケッカン
血管,ケッカン
月間,ゲッカン
月刊,ゲッカン
決議,ケツギ
月給,ゲッキュウ
欠勤,ケッキン
月経,ゲッケイ
結構,ケッコウ
結構,ケッコウ
欠航,ケッコウ
血行,ケッコウ
結合,ケツゴウ
月光,ゲッコウ
結婚,ケッコン
結婚式,ケッコンシキ
決済,ケッサイ
傑作,ケッサク
決算,ケッサン
月謝,ゲッシャ
月収,ゲッシュウ
欠如,ケツジョ
決勝,ケッショウ
結晶,ケッショウ
欠場,ケツジョウ
決勝戦,ケッショウセン
決心,ケッシン
結成,ケッセイ
欠席,ケッセキ
結束,ケッソク
血族,ケツゾク
決断,ケツダン
決着,ケッチャク
ゲッツー,ゲッツー
決定,ケッテイ
欠点,ケッテン
げっぷ,ゲップ
月賦,ゲップ
潔癖,ケッペキ
決別,ケツベツ
欠乏,ケツボウ
結末,ケツマツ
月末,ゲツマツ
月曜,ゲツヨウ
月曜日,ゲツヨウヒ
結論,ケツロン
毛抜き,ケヌキ
解熱,ゲネツ
懸念,ケネン
気配,ケハイ
仮病,ケビョウ
下品,ゲヒン
ケミカル,ケミカル
毛虫,ケムシ
煙,ケムリ
獣,ケモノ
家来,ケライ
下落,ゲラク
けり,ケリ
けり,ケリ
下痢,ゲリ
ゲリラ,ゲリラ
ゲルマン,ゲルマン
ゲレンデ,ゲレンデ
げろ,ゲロ
券,ケン
件,ケン
件,ケン
間,ケン
剣,ケン
減,ゲン
言,ゲン
原案,ゲンアン
権威,ケンイ
原因,ゲンイン
現役,ゲンエキ
原液,ゲンエキ
嫌悪,ケンオ
検温,ケンオン
けんか,ケンカ
原価,ゲンカ
見解,ケンカイ
圏外,ケンガイ
県外,ケンガイ
限界,ゲンカイ
厳戒,ゲンカイ
見学,ケンガク
減額,ゲンガク
玄関,ゲンカン
元気,ゲンキ
研究,ケンキュウ
言及,ゲンキュウ
研究室,ケンキュウシツ
検挙,ケンキョ
兼業,ケンギョウ
元凶,ゲンキョウ
現金,ゲンキン
現金,ゲンキン
厳禁,ゲンキン
現金書留,ゲンキンカキトメ
県警,ケンケイ
原形,ゲンケイ
原型,ゲンケイ
権限,ケンゲン
言語,ゲンゴ
原語,ゲンゴ
健康,ケンコウ
現行,ゲンコウ
原稿,ゲンコウ
元号,ゲンゴウ
健康食品,ケンコウショクヒン
健康診断,ケンコウシンダン
現行犯,ゲンコウハン
健康保険,ケンコウホケン
原稿用紙,ゲンコウヨウシ
言語学,ゲンゴガク
建国,ケンコク
原告,ゲンコク
げん骨,ゲンコツ
検査,ケンサ
健在,ケンザイ
顕在,ケンザイ
建材,ケンザイ
現在,ゲンザイ
原材料,ゲンザイリョウ
検索,ケンサク
原作,ゲンサク
原作者,ゲンサクシャ
検察,ケンサツ
検察官,ケンサツカン
検察庁,ケンサツチョウ
剣山,ケンザン
原産,ゲンサン
検事,ケンジ
堅持,ケンジ
原始,ゲンシ
原子,ゲンシ
見識,ケンシキ
原始時代,ゲンシジダイ
現実,ゲンジツ
現実性,ゲンジツセイ
原始的,ゲンシテキ
現時点,ゲンジテン
元首,ゲンシュ
研修,ケンシュウ
けん銃,ケンジュウ
原住民,ゲンジュウミン
検出,ケンシュツ
原書,ゲンショ
懸賞,ケンショウ
検証,ケンショウ
献上,ケンジョウ
謙譲,ケンジョウ
現象,ゲンショウ
減少,ゲンショウ
現状,ゲンジョウ
謙譲語,ケンジョウゴ
現職,ゲンショク
原色,ゲンショク
原子力,ゲンシリョク
原子力発電,ゲンシリョクハツデン
原子炉,ゲンシロ
検診,ケンシン
献身,ケンシン
原人,ゲンジン
懸垂,ケンスイ
件数,ケンスウ
減税,ゲンゼイ
建設,ケンセツ
源泉,ゲンセン
厳選,ゲンセン
源泉徴収,ゲンセンチョウシュウ
元素,ゲンソ
建造,ケンゾウ
幻想,ゲンソウ
現像,ゲンゾウ
幻想的,ゲンソウテキ
建造物,ケンゾウブツ
減速,ゲンソク
原則,ゲンソク
原則,ゲンソク
謙そん,ケンソン
現存,ゲンソン
現代,ゲンダイ
けん怠期,ケンタイキ
現代語,ゲンダイゴ
現代文,ゲンダイブン
現段階,ゲンダンカイ
見地,ケンチ
現地,ゲンチ
建築,ケンチク
建築士,ケンチクシ
建築物,ケンチクブツ
県知事,ケンチジ
県庁,ケンチョウ
検定,ケンテイ
限定,ゲンテイ
検定試験,ケンテイシケン
原点,ゲンテン
減点,ゲンテン
限度,ゲンド
検討,ケントウ
見当,ケントウ
健闘,ケントウ
剣道,ケンドウ
県道,ケンドウ
言動,ゲンドウ
原動力,ゲンドウリョク
圏内,ケンナイ
県内,ケンナイ
現場,ゲンバ
券売機,ケンバイキ
現場監督,ゲンバカントク
原爆,ゲンバク
顕微鏡,ケンビキョウ
現品,ゲンピン
見物,ケンブツ
現物,ゲンブツ
見聞,ケンブン
原文,ゲンブン
憲法,ケンポウ
玄米,ゲンマイ
県民,ケンミン
幻滅,ゲンメツ
倹約,ケンヤク
原油,ゲンユ
兼用,ケンヨウ
権利,ケンリ
原理,ゲンリ
県立,ケンリツ
原料,ゲンリョウ
減量,ゲンリョウ
権力,ケンリョク
言論,ゲンロン
子,コ
湖,コ
粉,コ
戸,コ
戸,コ
五,ゴ
五,ゴ
語,ゴ
碁,ゴ
コア,コア
ご挨拶,ゴアイサツ
コアラ,コアラ
恋,コイ
こい,コイ
故意,コイ
語彙,ゴイ
濃い口,コイクチ
恋心,コイゴコロ
恋,コイスル
子犬,コイヌ
こいのぼり,コイノボリ
恋人,コイビト
恋文,コイブミ
コイル,コイル
コイン,コイン
コインランドリー,コインランドリー
港,コウ
幸,コウ
工,コウ
紅,コウ
光,コウ
光,コウ
甲,コウ
公,コウ
溝,コウ
項,コウ
香,コウ
功,コウ
候,コウ
業,ゴウ
高圧,コウアツ
考案,コウアン
公安委員会,コウアンイインカイ
行為,コウイ
好意,コウイ
更衣,コウイ
合意,ゴウイ
広域,コウイキ
後遺症,コウイショウ
降雨,コウウ
豪雨,ゴウウ
降雨量,コウウリョウ
幸運,コウウン
公営,コウエイ
光栄,コウエイ
公営住宅,コウエイジュウタク
公園,コウエン
講演,コウエン
公演,コウエン
後援,コウエン
甲乙,コウオツ
高音,コウオン
高温,コウオン
効果,コウカ
硬貨,コウカ
高価,コウカ
硬化,コウカ
高架,コウカ
後悔,コウカイ
公開,コウカイ
航海,コウカイ
公害,コウガイ
郊外,コウガイ
口外,コウガイ
号外,ゴウガイ
公開講座,コウカイコウザ
工学,コウガク
高額,コウガク
合格,ゴウカク
高学年,コウガクネン
交換,コウカン
好感,コウカン
強姦,ゴウカン
後期,コウキ
高貴,コウキ
講義,コウギ
抗議,コウギ
高気圧,コウキアツ
好奇心,コウキシン
高級,コウキュウ
高給,コウキュウ
号泣,ゴウキュウ
皇居,コウキョ
公共,コウキョウ
好況,コウキョウ
交響,コウキョウ
工業,コウギョウ
鉱業,コウギョウ
交響曲,コウキョウキョク
公共事業,コウキョウジギョウ
公共団体,コウキョウダンタイ
公共放送,コウキョウホウソウ
公共料金,コウキョウリョウキン
抗菌,コウキン
工具,コウグ
航空,コウクウ
航空機,コウクウキ
航空便,コウクウビン
光景,コウケイ
後継,コウケイ
工芸,コウゲイ
合計,ゴウケイ
好景気,コウケイキ
後継者,コウケイシャ
工芸品,コウゲイヒン
攻撃,コウゲキ
高血圧,コウケツアツ
貢献,コウケン
公言,コウゲン
高原,コウゲン
交互,コウゴ
高校,コウコウ
孝行,コウコウ
皇后,コウゴウ
高校生,コウコウセイ
広告,コウコク
広告文,コウコクブン
交差,コウサ
口座,コウザ
講座,コウザ
交際,コウサイ
工作,コウサク
耕作,コウサク
考察,コウサツ
交差点,コウサテン
降参,コウサン
鉱山,コウザン
高山,コウザン
講師,コウシ
行使,コウシ
公私,コウシ
格子,コウシ
工事,コウジ
公示,コウジ
公式,コウシキ
硬式,コウシキ
公式戦,コウシキセン
皇室,コウシツ
口実,コウジツ
後者,コウシャ
校舎,コウシャ
講習,コウシュウ
公衆,コウシュウ
口臭,コウシュウ
公衆電話,コウシュウデンワ
高周波,コウシュウハ
公衆便所,コウシュウベンジョ
高所,コウショ
控除,コウジョ
交渉,コウショウ
工場,コウジョウ
向上,コウジョウ
好条件,コウジョウケン
行進,コウシン
更新,コウシン
交信,コウシン
行進曲,コウシンキョク
香辛料,コウシンリョウ
構図,コウズ
香水,コウスイ
降水,コウスイ
洪水,コウズイ
降水量,コウスイリョウ
構成,コウセイ
公正,コウセイ
後世,コウセイ
更正,コウセイ
厚生,コウセイ
攻勢,コウセイ
合成,ゴウセイ
厚生省,コウセイショウ
合成繊維,ゴウセイセンイ
厚生年金,コウセイネンキン
抗生物質,コウセイブッシツ
功績,コウセキ
降雪,コウセツ
豪雪,ゴウセツ
光線,コウセン
公然,コウゼン
控訴,コウソ
酵素,コウソ
高層,コウソウ
構想,コウソウ
抗争,コウソウ
構造,コウゾウ
高速,コウソク
拘束,コウソク
校則,コウソク
皇族,コウゾク
後続,コウゾク
高速道路,コウソクドウロ
拘束力,コウソクリョク
高卒,コウソツ
交代,コウタイ
後退,コウタイ
皇太子,コウタイシ
光沢,コウタク
強奪,ゴウダツ
公団,コウダン
公団住宅,コウダンジュウタク
高地,コウチ
構築,コウチク
紅茶,コウチャ
校長,コウチョウ
好調,コウチョウ
紅潮,コウチョウ
交通,コウツウ
交通機関,コウツウキカン
交通事故,コウツウジコ
交通渋滞,コウツウジュウタイ
交通網,コウツウモウ
肯定,コウテイ
高低,コウテイ
校庭,コウテイ
皇帝,コウテイ
行程,コウテイ
工程,コウテイ
肯定的,コウテイテキ
香典,コウデン
高度,コウド
高等,コウトウ
口頭,コウトウ
高騰,コウトウ
行動,コウドウ
公道,コウドウ
強盗,ゴウトウ
合同,ゴウドウ
高等学校,コウトウガッコウ
購読,コウドク
校内,コウナイ
構内,コウナイ
口内炎,コウナイエン
購入,コウニュウ
公認,コウニン
公認会計士,コウニンカイケイシ
高熱,コウネツ
光熱費,コウネツヒ
効能,コウノウ
後輩,コウハイ
荒廃,コウハイ
交配,コウハイ
購買,コウバイ
購買力,コウバイリョク
紅白,コウハク
後半,コウハン
公判,コウハン
交番,コウバン
降板,コウバン
広範囲,コウハンイ
工費,コウヒ
合否,ゴウヒ
好評,コウヒョウ
公表,コウヒョウ
好評,コウヒョウ
交付,コウフ
公布,コウフ
後部,コウブ
校風,コウフウ
幸福,コウフク
降伏,コウフク
好物,コウブツ
鉱物,コウブツ
興奮,コウフン
公平,コウヘイ
候補,コウホ
酵母,コウボ
公募,コウボ
後方,コウホウ
広報,コウホウ
工房,コウボウ
合法,ゴウホウ
合法的,ゴウホウテキ
高慢,コウマン
ごう慢,ゴウマン
公民,コウミン
公民館,コウミンカン
公務,コウム
公務員,コウムイン
項目,コウモク
こうもり,コウモリ
肛門,コウモン
公約,コウヤク
紅葉,コウヨウ
公用,コウヨウ
効用,コウヨウ
公用語,コウヨウゴ
甲羅,コウラ
行楽,コウラク
小売り,コウリ
合理,ゴウリ
合理化,ゴウリカ
合理主義,ゴウリシュギ
公立,コウリツ
効率,コウリツ
攻略,コウリャク
交流,コウリュウ
合流,ゴウリュウ
考慮,コウリョ
香料,コウリョウ
効力,コウリョク
後輪,コウリン
高齢,コウレイ
恒例,コウレイ
号令,ゴウレイ
航路,コウロ
功労,コウロウ
口論,コウロン
声,コエ
護衛,ゴエイ
声変わり,コエガワリ
小枝,コエダ
ゴー,ゴー
コース,コース
コースター,コースター
ゴースト,ゴースト
コーチ,コーチ
コーディネート,コーディネート
コーティング,コーティング
コート,コート
コーナー,コーナー
コーナーキック,コーナーキック
コーヒー,コーヒー
コーヒー豆,コーヒーマメ
コーポレーション,コーポレーション
コーラ,コーラ
コーラス,コーラス
氷,コオリ
氷水,コオリミズ
ゴール,ゴール
ゴールキック,ゴールキック
ゴールデン,ゴールデン
ゴールド,ゴールド
誤解,ゴカイ
互角,ゴカク
語学,ゴガク
木陰,コカゲ
小型,コガタ
五月,ゴガツ
五月人形,ゴガツニンギョウ
小柄,コガラ
木枯らし,コガラシ
股間,コカン
五感,ゴカン
御機嫌,ゴキゲン
小刻み,コキザミ
小切手,コギッテ
ごきぶり,ゴキブリ
顧客,コキャク
呼吸,コキュウ
呼吸器,コキュウキ
呼吸困難,コキュウコンナン
故郷,コキョウ
刻,コク
こく,コク
語句,ゴク
極意,ゴクイ
刻印,コクイン
国営,コクエイ
国王,コクオウ
国外,コクガイ
国技,コクギ
国語,コクゴ
国語辞典,コクゴジテン
国債,コクサイ
国際化,コクサイカ
国際会議,コクサイカイギ
国際空港,コクサイクウコウ
国際結婚,コクサイケッコン
国際条約,コクサイジョウヤク
国際色,コクサイショク
国際電話,コクサイデンワ
国際都市,コクサイトシ
国際法,コクサイホウ
国際連合,コクサイレンゴウ
国産,コクサン
酷使,コクシ
黒人,コクジン
国勢,コクセイ
国税,コクゼイ
国税庁,コクゼイチョウ
国勢調査,コクセイチョウサ
国籍,コクセキ
告訴,コクソ
告知,コクチ
国鉄,コクテツ
国土,コクド
国道,コクドウ
国内,コクナイ
告白,コクハク
告発,コクハツ
黒板,コクバン
極秘,ゴクヒ
克服,コクフク
告別,コクベツ
告別式,コクベツシキ
国宝,コクホウ
国防,コクボウ
国民,コクミン
国民健康保険,コクミンケンコウホケン
国民主権,コクミンシュケン
国民性,コクミンセイ
国民総生産,コクミンソウセイサン
国民投票,コクミントウヒョウ
国民年金,コクミンネンキン
国民の祝日,コクミンノシュクジツ
国名,コクメイ
穀物,コクモツ
極楽,ゴクラク
国立,コクリツ
国立公園,コクリツコウエン
国連,コクレン
御苦労様,ゴクロウサマ
こけ,コケ
焦げ,コゲ
固形,コケイ
こけし,コケシ
焦げ目,コゲメ
語源,ゴゲン
ここ,ココ
個々,ココ
午後,ゴゴ
ココア,ココア
小声,コゴエ
心地,ココチ
小言,コゴト
ココナッツ,ココナッツ
九日,ココノカ
九つ,ココノツ
ここら,ココラ
心,ココロ
心当たり,ココロアタリ
心得,ココロエ
心構え,ココロガマエ
心から,ココロカラ
心配り,ココロクバリ
志,ココロザシ
心遣い,ココロヅカイ
心待ち,ココロマチ
試み,ココロミ
試みに,ココロミニ
心持ち,ココロモチ
古今,ココン
古今東西,ココントウザイ
誤差,ゴサ
後妻,ゴサイ
小雨,コサメ
小皿,コザラ
腰,コシ
故紙,コシ
孤児,コジ
誇示,コジ
孤児院,コジイン
腰掛け,コシカケ
こじき,コジキ
個室,コシツ
固執,コシツ
後日,ゴジツ
ゴシック,ゴシック
ゴシップ,ゴシップ
腰抜け,コシヌケ
五十音,ゴジュウオン
五十音順,ゴジュウオンジュン
語順,ゴジュン
胡椒,コショウ
故障,コショウ
呼称,コショウ
個人,コジン
故人,コジン
個人差,コジンサ
個人主義,コジンシュギ
個人名,コジンメイ
個数,コスウ
コスト,コスト
コストダウン,コストダウン
コスモス,コスモス
個性,コセイ
戸籍,コセキ
戸籍謄本,コセキトウホン
小銭,コゼニ
午前,ゴゼン
小僧,コゾウ
子育て,コソダテ
固体,コタイ
個体,コタイ
古代,コダイ
答え,コタエ
ごたごた,ゴタゴタ
木立ち,コダチ
こたつ,コタツ
木霊,コダマ
こだわり,コダワリ
ごちそう,ゴチソウ
御馳走様,ゴチソウサマ
こつ,コツ
骨,コツ
骨,コツ
国家,コッカ
国歌,コッカ
国会,コッカイ
小遣い,コヅカイ
国会議員,コッカイギイン
国会議事堂,コッカイギジドウ
骨格,コッカク
国家権力,コッカケンリョク
国家公務員,コッカコウムイン
国家試験,コッカシケン
国旗,コッキ
国境,コッキョウ
コックピット,コックピット
こっけい,コッケイ
国交,コッコウ
骨折,コッセツ
ゴッド,ゴッド
ゴッドファーザー,ゴッドファーザー
コットン,コットン
コップ,コップ
子連れ,コヅレ
固定,コテイ
固定観念,コテイカンネン
固定資産,コテイシサン
固定資産税,コテイシサンゼイ
古典,コテン
御殿,ゴテン
事,コト
事　,コト
古都,コト
異,コト
琴,コト
鼓動,コドウ
事柄,コトガラ
孤独,コドク
事事,コトゴト
今年,コトシ
言葉,コトバ
言葉遣い,コトバヅカイ
寿,コトブキ
子供,コドモ
子供らしい,コドモラシイ
小鳥,コトリ
ことわざ,コトワザ
粉,コナ
粉々,コナゴナ
コネ,コネ
子猫,コネコ
このごろ,コノゴロ
このたび,コノタビ
木の葉,コノハ
好み,コノミ
木の実,コノミ
この世,コノヨ
小馬鹿,コバカ
小走り,コバシリ
コバルト,コバルト
小判,コバン
御飯,ゴハン
碁盤,ゴバン
語尾,ゴビ
コピー,コピー
コピーライター,コピーライター
こぶ,コブ
古風,コフウ
呉服,ゴフク
ごぶさた,ゴブサタ
こぶし,コブシ
小太り,コブトリ
コブラ,コブラ
小振り,コブリ
古墳,コフン
子分,コブン
個別,コベツ
ごぼう,ゴボウ
ご褒美,ゴホウビ
こま,コマ
こま,コマ
ごま,ゴマ
ごまあえ,ゴマアエ
コマーシャル,コマーシャル
細切れ,コマギレ
鼓膜,コマク
小回り,コマワリ
ごみ,ゴミ
コミック,コミック
小耳,コミミ
コミュニケーション,コミュニケーション
コミュニケート,コミュニケート
コミュニティー,コミュニティー
ゴム,ゴム
小麦,コムギ
小麦粉,コムギコ
米,コメ
こめかみ,コメカミ
米粒,コメツブ
コメディアン,コメディアン
コメディー,コメディー
コメンテーター,コメンテーター
コメント,コメント
五目,ゴモク
子持ち,コモチ
小物,コモノ
子守り,コモリ
顧問,コモン
小屋,コヤ
子役,コヤク
固有,コユウ
小雪,コユキ
小指,コユビ
雇用,コヨウ
御用,ゴヨウ
雇用者,コヨウシャ
暦,コヨミ
コラーゲン,コラーゲン
古来,コライ
娯楽,ゴラク
コラム,コラム
御覧,ゴラン
御覧になる,ゴランニナル
凝り,コリ
コリー,コリー
孤立,コリツ
ゴリラ,ゴリラ
五輪,ゴリン
コルク,コルク
ゴルフ,ゴルフ
ゴルファー,ゴルファー
これ,コレ
これから,コレカラ
コレクション,コレクション
コレクター,コレクター
コレステロール,コレステロール
これら,コレラ
コレラ,コレラ
ころ,コロ
ゴロ,ゴロ
語呂,ゴロ
語録,ゴロク
殺し,コロシ
コロシアム,コロシアム
殺し屋,コロシヤ
コロッケ,コロッケ
衣,コロモ
衣替え,コロモガエ
小分け,コワケ
壊れ物,コワレモノ
紺,コン
紺色,コンイロ
婚姻,コンイン
今回,コンカイ
懇願,コンガン
今季,コンキ
今期,コンキ
根気,コンキ
根拠,コンキョ
コンクール,コンクール
コンクリート,コンクリート
混血,コンケツ
今月,コンゲツ
根源,コンゲン
今後,コンゴ
混合,コンゴウ
コンサート,コンサート
混在,コンザイ
混雑,コンザツ
金色,コンジキ
今昔,コンジャク
今週,コンシュウ
今春,コンシュン
根性,コンジョウ
根絶,コンゼツ
コンセプト,コンセプト
コンソメ,コンソメ
コンタクト,コンタクト
コンタクトレンズ,コンタクトレンズ
献立,コンダテ
魂胆,コンタン
懇談,コンダン
昆虫,コンチュウ
根底,コンテイ
コンディション,コンディション
コンテスト,コンテスト
コンテナ,コンテナ
コンデンスミルク,コンデンスミルク
コント,コント
今度,コンド
混同,コンドウ
コンドーム,コンドーム
コントラスト,コントラスト
コントローラー,コントローラー
コントロール,コントロール
困難,コンナン
今日,コンニチ
こんにゃく,コンニャク
混入,コンニュウ
今年度,コンネンド
今年度,コンネンド
コンパ,コンパ
コンパクト,コンパクト
コンパクトディスク,コンパクトディスク
コンパス,コンパス
今晩,コンバン
コンビ,コンビ
コンビナート,コンビナート
コンビニ,コンビニ
コンビニエンス,コンビニエンス
コンビネーション,コンビネーション
コンピュータ,コンピュータ
コンピューター,コンピューター
昆布,コンブ
コンプレックス,コンプレックス
コンベヤー,コンベヤー
コンポ,コンポ
梱包,コンポウ
根本,コンポン
今夜,コンヤ
婚約,コンヤク
混浴,コンヨク
混乱,コンラン
こんろ,コンロ
困惑,コンワク
差,サ
座,ザ
サーカス,サーカス
サーキット,サーキット
サークル,サークル
ザーサイ,ザーサイ
サード,サード
サーバー,サーバー
サービス,サービス
サービスエリア,サービスエリア
サービス業,サービスギョウ
サーブ,サーブ
サーファー,サーファー
サーフィン,サーフィン
サーモン,サーモン
際,サイ
才,サイ
差異,サイ
財,ザイ
財,ザイ
材,ザイ
罪,ザイ
最悪,サイアク
罪悪,ザイアク
菜園,サイエン
再会,サイカイ
再開,サイカイ
災害,サイガイ
財界,ザイカイ
再開発,サイカイハツ
才覚,サイカク
在学,ザイガク
再起,サイキ
最強,サイキョウ
最近,サイキン
細菌,サイキン
細工,サイク
サイクリング,サイクリング
サイクル,サイクル
採血,サイケツ
歳月,サイゲツ
再建,サイケン
再現,サイゲン
際限,サイゲン
財源,ザイゲン
最古,サイコ
最後,サイゴ
最期,サイゴ
在庫,ザイコ
最高,サイコウ
最高級,サイコウキュウ
最高裁,サイコウサイ
最高裁判所,サイコウサイバンショ
最後尾,サイコウビ
さいころ,サイコロ
再婚,サイコン
採算,サイサン
財産,ザイサン
妻子,サイシ
祭日,サイジツ
材質,ザイシツ
採取,サイシュ
最終,サイシュウ
採集,サイシュウ
在住,ザイジュウ
最初,サイショ
最少,サイショウ
最小,サイショウ
最上,サイジョウ
最小限,サイショウゲン
最小限度,サイショウゲンド
在職,ザイショク
最新,サイシン
最新式,サイシンシキ
サイズ,サイズ
再生,サイセイ
財政,ザイセイ
最盛期,サイセイキ
在籍,ザイセキ
再選,サイセン
最善,サイゼン
最前列,サイゼンレツ
催促,サイソク
最多,サイタ
サイダー,サイダー
最大,サイダイ
最大級,サイダイキュウ
最大限,サイダイゲン
採択,サイタク
在宅,ザイタク
最短,サイタン
裁断,サイダン
祭壇,サイダン
財団,ザイダン
最中,サイチュウ
在中,ザイチュウ
最長,サイチョウ
最低,サイテイ
最低限,サイテイゲン
採点,サイテン
祭典,サイテン
サイト,サイト
サイド,サイド
再度,サイド
サイドカー,サイドカー
サイドブレーキ,サイドブレーキ
災難,サイナン
歳入,サイニュウ
罪人,ザイニン
再認識,サイニンシキ
才能,サイノウ
栽培,サイバイ
再発,サイハツ
財閥,ザイバツ
再発見,サイハッケン
裁判,サイバン
裁判官,サイバンカン
裁判所,サイバンショ
財布,サイフ
細部,サイブ
細分,サイブン
細分化,サイブンカ
裁縫,サイホウ
細胞,サイボウ
催眠,サイミン
債務,サイム
財務,ザイム
材木,ザイモク
最優先,サイユウセン
採用,サイヨウ
在留,ザイリュウ
最良,サイリョウ
